creator_id,platform,content_type,time_slot,avg_engagement
1,YouTube,SHORT,22,0.709
1,YouTube,SHORT,23,0.576
1,YouTube,LONG,0,1.056
1,YouTube,LONG,1,0.839
1,YouTube,LONG,2,0.376
1,YouTube,LONG,3,0.659
1,YouTube,LONG,4,0.392
1,YouTube,LONG,5,1.188
1,YouTube,LONG,6,1.144
1,YouTube,LONG,7,1.103
1,YouTube,LONG,8,0.644
1,YouTube,LONG,9,0.426
1,YouTube,LONG,10,1.143
1,YouTube,LONG,11,1.204
1,YouTube,LONG,12,0.45
1,YouTube,LONG,13,0.8
1,YouTube,LONG,14,0.436
1,YouTube,LONG,15,1.041
1,YouTube,LONG,16,1.045
1,YouTube,LONG,17,0.487
1,YouTube,LONG,18,0.791
1,YouTube,LONG,19,0.856
1,YouTube,LONG,20,0.607
1,YouTube,LONG,21,1.138
1,YouTube,LONG,22,0.745
1,YouTube,LONG,23,0.56
2,Instagram,SHORT,0,0.847
2,Instagram,SHORT,1,1.014
2,Instagram,SHORT,2,0.551
2,Instagram,SHORT,3,0.648
2,Instagram,SHORT,4,1.246
2,Instagram,SHORT,5,0.944
2,Instagram,SHORT,6,0.758
2,Instagram,SHORT,7,0.828
2,Instagram,SHORT,8,0.481
2,Instagram,SHORT,9,0.572
2,Instagram,SHORT,10,0.671
2,Instagram,SHORT,11,0.89
2,Instagram,SHORT,12,0.576
2,Instagram,SHORT,13,0.568
2,Instagram,SHORT,14,0.437
2,Instagram,SHORT,15,0.927
2,Instagram,SHORT,16,0.575
2,Instagram,SHORT,17,1.167
2,Instagram,SHORT,18,1.127
2,Instagram,SHORT,19,0.437
2,Instagram,SHORT,20,0.583
2,Instagram,SHORT,21,0.96
2,Instagram,SHORT,22,0.562
2,Instagram,SHORT,23,0.491
2,Instagram,LONG,0,0.812
2,Instagram,LONG,1,0.595
2,Instagram,LONG,2,0.536
2,Instagram,LONG,3,0.722
2,Instagram,LONG,4,0.735
2,Instagram,LONG,5,0.368
2,Instagram,LONG,6,0.313
2,Instagram,LONG,7,0.511
2,Instagram,LONG,8,0.507
2,Instagram,LONG,9,0.533
2,Instagram,LONG,10,0.689
2,Instagram,LONG,11,0.656
2,Instagram,LONG,12,0.841
2,Instagram,LONG,13,0.314
2,Instagram,LONG,14,0.495
2,Instagram,LONG,15,0.457
2,Instagram,LONG,16,0.768
2,Instagram,LONG,17,0.403
2,Instagram,LONG,18,0.368
2,Instagram,LONG,19,0.522
2,Instagram,LONG,20,0.506
2,Instagram,LONG,21,0.421
2,Instagram,LONG,22,0.404
2,Instagram,LONG,23,0.804
2,YouTube,SHORT,0,0.519
2,YouTube,SHORT,1,0.768
2,YouTube,SHORT,2,0.582
2,YouTube,SHORT,3,0.285
2,YouTube,SHORT,4,0.85
2,YouTube,SHORT,5,0.752
2,YouTube,SHORT,6,0.832
2,YouTube,SHORT,7,0.806
2,YouTube,SHORT,8,0.76
2,YouTube,SHORT,9,0.354
2,YouTube,SHORT,10,0.544
2,YouTube,SHORT,11,0.382
2,YouTube,SHORT,12,0.494
2,YouTube,SHORT,13,0.29
2,YouTube,SHORT,14,0.48
2,YouTube,SHORT,15,0.841
2,YouTube,SHORT,16,0.413
2,YouTube,SHORT,17,0.722
2,YouTube,SHORT,18,0.526
2,YouTube,SHORT,19,0.507
2,YouTube,SHORT,20,0.825
2,YouTube,SHORT,21,0.847
2,YouTube,SHORT,22,0.586
2,YouTube,SHORT,23,0.682
2,YouTube,LONG,0,0.51
2,YouTube,LONG,1,0.635
2,YouTube,LONG,2,1.223
2,YouTube,LONG,3,0.882
2,YouTube,LONG,4,0.849
2,YouTube,LONG,5,1.029
2,YouTube,LONG,6,0.425
2,YouTube,LONG,7,0.886
2,YouTube,LONG,8,0.815
2,YouTube,LONG,9,1.121
2,YouTube,LONG,10,0.513
2,YouTube,LONG,11,1.216
2,YouTube,LONG,12,0.445
2,YouTube,LONG,13,0.538
2,YouTube,LONG,14,0.896
2,YouTube,LONG,15,0.966
2,YouTube,LONG,16,0.581
2,YouTube,LONG,17,0.48
2,YouTube,LONG,18,1.154
2,YouTube,LONG,19,0.59
2,YouTube,LONG,20,0.895
2,YouTube,LONG,21,0.917
2,YouTube,LONG,22,0.742
2,YouTube,LONG,23,0.886
3,Instagram,SHORT,0,0.832
3,Instagram,SHORT,1,1.193
3,Instagram,SHORT,2,0.554
3,Instagram,SHORT,3,1.002
3,Instagram,SHORT,4,0.584
3,Instagram,SHORT,5,0.721
3,Instagram,SHORT,6,0.963
3,Instagram,SHORT,7,0.637
3,Instagram,SHORT,8,0.652
3,Instagram,SHORT,9,1.033
3,Instagram,SHORT,10,0.438
3,Instagram,SHORT,11,0.776
3,Instagram,SHORT,12,1.249
3,Instagram,SHORT,13,1.247
3,Instagram,SHORT,14,0.439
3,Instagram,SHORT,15,0.562
3,Instagram,SHORT,16,0.607
3,Instagram,SHORT,17,1.192
3,Instagram,SHORT,18,1.146
3,Instagram,SHORT,19,1.144
3,Instagram,SHORT,20,0.698
3,Instagram,SHORT,21,0.513
3,Instagram,SHORT,22,1.105
3,Instagram,SHORT,23,0.991
3,Instagram,LONG,0,0.619
3,Instagram,LONG,1,0.842
3,Instagram,LONG,2,0.644
3,Instagram,LONG,3,0.26
3,Instagram,LONG,4,0.741
3,Instagram,LONG,5,0.433
3,Instagram,LONG,6,0.65
3,Instagram,LONG,7,0.814
3,Instagram,LONG,8,0.335
3,Instagram,LONG,9,0.324
3,Instagram,LONG,10,0.319
3,Instagram,LONG,11,0.584
3,Instagram,LONG,12,0.417
3,Instagram,LONG,13,0.615
3,Instagram,LONG,14,0.682
3,Instagram,LONG,15,0.376
3,Instagram,LONG,16,0.632
3,Instagram,LONG,17,0.412
3,Instagram,LONG,18,0.546
3,Instagram,LONG,19,0.794
3,Instagram,LONG,20,0.758
3,Instagram,LONG,21,0.31
3,Instagram,LONG,22,0.507
3,Instagram,LONG,23,0.42
3,YouTube,SHORT,0,0.257
3,YouTube,SHORT,1,0.714
3,YouTube,SHORT,2,0.634
3,YouTube,SHORT,3,0.411
3,YouTube,SHORT,4,0.696
3,YouTube,SHORT,5,0.583
3,YouTube,SHORT,6,0.509
3,YouTube,SHORT,7,0.261
3,YouTube,SHORT,8,0.3
3,YouTube,SHORT,9,0.78
3,YouTube,SHORT,10,0.793
3,YouTube,SHORT,11,0.58
3,YouTube,SHORT,12,0.752
3,YouTube,SHORT,13,0.602
3,YouTube,SHORT,14,0.343
3,YouTube,SHORT,15,0.331
3,YouTube,SHORT,16,0.438
3,YouTube,SHORT,17,0.79
3,YouTube,SHORT,18,0.729
3,YouTube,SHORT,19,0.767
3,YouTube,SHORT,20,0.79
3,YouTube,SHORT,21,0.38
3,YouTube,SHORT,22,0.403
3,YouTube,SHORT,23,0.316
3,YouTube,LONG,0,1.058
3,YouTube,LONG,1,1.149
3,YouTube,LONG,2,0.731
3,YouTube,LONG,3,0.918
3,YouTube,LONG,4,0.51
3,YouTube,LONG,5,1.189
3,YouTube,LONG,6,1.132
3,YouTube,LONG,7,1.229
3,YouTube,LONG,8,1.084
3,YouTube,LONG,9,1.146
3,YouTube,LONG,10,0.397
3,YouTube,LONG,11,1.019
3,YouTube,LONG,12,0.666
3,YouTube,LONG,13,1.189
3,YouTube,LONG,14,1.077
3,YouTube,LONG,15,1.131
3,YouTube,LONG,16,1.084
3,YouTube,LONG,17,0.608
3,YouTube,LONG,18,1.064
3,YouTube,LONG,19,0.47
3,YouTube,LONG,20,1.138
3,YouTube,LONG,21,1.126
3,YouTube,LONG,22,0.57
3,YouTube,LONG,23,1.09
4,Instagram,SHORT,0,0.778
4,Instagram,SHORT,1,0.642
4,Instagram,SHORT,2,1.071
4,Instagram,SHORT,3,0.574
4,Instagram,SHORT,4,0.396
4,Instagram,SHORT,5,0.544
4,Instagram,SHORT,6,0.662
4,Instagram,SHORT,7,1.131
4,Instagram,SHORT,8,1.221
4,Instagram,SHORT,9,0.619
4,Instagram,SHORT,10,0.936
4,Instagram,SHORT,11,0.725
4,Instagram,SHORT,12,1.234
4,Instagram,SHORT,13,0.844
4,Instagram,SHORT,14,1.197
4,Instagram,SHORT,15,0.476
4,Instagram,SHORT,16,1.224
4,Instagram,SHORT,17,0.531
4,Instagram,SHORT,18,1.217
4,Instagram,SHORT,19,0.607
4,Instagram,SHORT,20,0.47
4,Instagram,SHORT,21,0.755
4,Instagram,SHORT,22,1.012
4,Instagram,SHORT,23,0.649
4,Instagram,LONG,0,0.616
4,Instagram,LONG,1,0.559
4,Instagram,LONG,2,0.484
4,Instagram,LONG,3,0.598
4,Instagram,LONG,4,0.407
4,Instagram,LONG,5,0.677
4,Instagram,LONG,6,0.256
4,Instagram,LONG,7,0.806
4,Instagram,LONG,8,0.575
4,Instagram,LONG,9,0.683
4,Instagram,LONG,10,0.696
4,Instagram,LONG,11,0.654
4,Instagram,LONG,12,0.472
4,Instagram,LONG,13,0.297
4,Instagram,LONG,14,0.65
4,Instagram,LONG,15,0.451
4,Instagram,LONG,16,0.442
4,Instagram,LONG,17,0.76
4,Instagram,LONG,18,0.683
4,Instagram,LONG,19,0.434
4,Instagram,LONG,20,0.439
4,Instagram,LONG,21,0.498
4,Instagram,LONG,22,0.494
4,Instagram,LONG,23,0.431
4,YouTube,SHORT,0,0.331
4,YouTube,SHORT,1,0.505
4,YouTube,SHORT,2,0.815
4,YouTube,SHORT,3,0.658
4,YouTube,SHORT,4,0.792
4,YouTube,SHORT,5,0.621
4,YouTube,SHORT,6,0.434
4,YouTube,SHORT,7,0.581
4,YouTube,SHORT,8,0.255
4,YouTube,SHORT,9,0.426
4,YouTube,SHORT,10,0.511
4,YouTube,SHORT,11,0.6
4,YouTube,SHORT,12,0.645
4,YouTube,SHORT,13,0.532
4,YouTube,SHORT,14,0.518
4,YouTube,SHORT,15,0.382
4,YouTube,SHORT,16,0.537
4,YouTube,SHORT,17,0.791
4,YouTube,SHORT,18,0.729
4,YouTube,SHORT,19,0.356
4,YouTube,SHORT,20,0.305
4,YouTube,SHORT,21,0.562
4,YouTube,SHORT,22,0.632
4,YouTube,SHORT,23,0.454
4,YouTube,LONG,0,1.091
4,YouTube,LONG,1,1.032
4,YouTube,LONG,2,0.964
4,YouTube,LONG,3,0.572
4,YouTube,LONG,4,0.549
4,YouTube,LONG,5,0.396
4,YouTube,LONG,6,0.589
4,YouTube,LONG,7,0.791
4,YouTube,LONG,8,1.119
4,YouTube,LONG,9,0.439
4,YouTube,LONG,10,0.738
4,YouTube,LONG,11,0.926
4,YouTube,LONG,12,0.545
4,YouTube,LONG,13,0.984
4,YouTube,LONG,14,0.808
4,YouTube,LONG,15,0.588
4,YouTube,LONG,16,0.949
4,YouTube,LONG,17,0.38
4,YouTube,LONG,18,1.032
4,YouTube,LONG,19,1.049
4,YouTube,LONG,20,0.468
4,YouTube,LONG,21,0.747
4,YouTube,LONG,22,0.529
4,YouTube,LONG,23,1.213
5,Instagram,SHORT,0,0.828
5,Instagram,SHORT,1,0.419
5,Instagram,SHORT,2,0.593
5,Instagram,SHORT,3,1.117
5,Instagram,SHORT,4,0.774
5,Instagram,SHORT,5,1.076
5,Instagram,SHORT,6,0.959
5,Instagram,SHORT,7,1.239
5,Instagram,SHORT,8,0.896
5,Instagram,SHORT,9,1.206
5,Instagram,SHORT,10,1.155
5,Instagram,SHORT,11,0.911
5,Instagram,SHORT,12,1.004
5,Instagram,SHORT,13,0.817
5,Instagram,SHORT,14,1.102
5,Instagram,SHORT,15,0.854
5,Instagram,SHORT,16,1.16
5,Instagram,SHORT,17,1.026
5,Instagram,SHORT,18,0.79
5,Instagram,SHORT,19,0.602
5,Instagram,SHORT,20,0.591
5,Instagram,SHORT,21,0.933
5,Instagram,SHORT,22,1.045
5,Instagram,SHORT,23,0.831
5,Instagram,LONG,0,0.628
5,Instagram,LONG,1,0.418
5,Instagram,LONG,2,0.301
5,Instagram,LONG,3,0.425
5,Instagram,LONG,4,0.417
5,Instagram,LONG,5,0.445
5,Instagram,LONG,6,0.576
5,Instagram,LONG,7,0.337
5,Instagram,LONG,8,0.393
5,Instagram,LONG,9,0.668
5,Instagram,LONG,10,0.675
5,Instagram,LONG,11,0.293
5,Instagram,LONG,12,0.498
5,Instagram,LONG,13,0.578
5,Instagram,LONG,14,0.502
5,Instagram,LONG,15,0.378
5,Instagram,LONG,16,0.505
5,Instagram,LONG,17,0.793
5,Instagram,LONG,18,0.603
5,Instagram,LONG,19,0.669
5,Instagram,LONG,20,0.765
5,Instagram,LONG,21,0.711
5,Instagram,LONG,22,0.481
5,Instagram,LONG,23,0.259
5,YouTube,SHORT,0,0.464
5,YouTube,SHORT,1,0.703
5,YouTube,SHORT,2,0.763
5,YouTube,SHORT,3,0.822
5,YouTube,SHORT,4,0.504
5,YouTube,SHORT,5,0.7
5,YouTube,SHORT,6,0.58
5,YouTube,SHORT,7,0.614
5,YouTube,SHORT,8,0.386
5,YouTube,SHORT,9,0.386
5,YouTube,SHORT,10,0.514
5,YouTube,SHORT,11,0.272
5,YouTube,SHORT,12,0.455
5,YouTube,SHORT,13,0.659
5,YouTube,SHORT,14,0.496
5,YouTube,SHORT,15,0.353
5,YouTube,SHORT,16,0.533
5,YouTube,SHORT,17,0.331
5,YouTube,SHORT,18,0.625
5,YouTube,SHORT,19,0.271
5,YouTube,SHORT,20,0.489
5,YouTube,SHORT,21,0.591
5,YouTube,SHORT,22,0.271
5,YouTube,SHORT,23,0.637
5,YouTube,LONG,0,0.494
5,YouTube,LONG,1,0.779
5,YouTube,LONG,2,0.419
5,YouTube,LONG,3,0.707
5,YouTube,LONG,4,0.56
5,YouTube,LONG,5,0.661
5,YouTube,LONG,6,1.041
5,YouTube,LONG,7,0.707
5,YouTube,LONG,8,1.033
5,YouTube,LONG,9,1.103
5,YouTube,LONG,10,0.596
5,YouTube,LONG,11,0.447
5,YouTube,LONG,12,0.392
5,YouTube,LONG,13,0.847
5,YouTube,LONG,14,1.25
5,YouTube,LONG,15,0.681
5,YouTube,LONG,16,0.944
5,YouTube,LONG,17,1.059
5,YouTube,LONG,18,0.945
5,YouTube,LONG,19,1.035
5,YouTube,LONG,20,1.206
5,YouTube,LONG,21,0.549
5,YouTube,LONG,22,0.393
5,YouTube,LONG,23,0.508
6,Instagram,SHORT,0,0.485
6,Instagram,SHORT,1,0.961
6,Instagram,SHORT,2,0.868
6,Instagram,SHORT,3,0.566
6,Instagram,SHORT,4,0.987
6,Instagram,SHORT,5,1.046
6,Instagram,SHORT,6,0.522
6,Instagram,SHORT,7,0.906
6,Instagram,SHORT,8,1.029
6,Instagram,SHORT,9,0.475
6,Instagram,SHORT,10,1.092
6,Instagram,SHORT,11,1.219
6,Instagram,SHORT,12,0.47
6,Instagram,SHORT,13,0.397
6,Instagram,SHORT,14,0.648
6,Instagram,SHORT,15,0.968
6,Instagram,SHORT,16,1.213
6,Instagram,SHORT,17,0.722
6,Instagram,SHORT,18,1.001
6,Instagram,SHORT,19,0.441
6,Instagram,SHORT,20,0.979
6,Instagram,SHORT,21,0.924
6,Instagram,SHORT,22,0.464
6,Instagram,SHORT,23,1.051
6,Instagram,LONG,0,0.761
6,Instagram,LONG,1,0.612
6,Instagram,LONG,2,0.327
6,Instagram,LONG,3,0.84
6,Instagram,LONG,4,0.721
6,Instagram,LONG,5,0.462
6,Instagram,LONG,6,0.51
6,Instagram,LONG,7,0.475
6,Instagram,LONG,8,0.556
6,Instagram,LONG,9,0.458
6,Instagram,LONG,10,0.76
6,Instagram,LONG,11,0.744
6,Instagram,LONG,12,0.318
6,Instagram,LONG,13,0.827
6,Instagram,LONG,14,0.633
6,Instagram,LONG,15,0.748
6,Instagram,LONG,16,0.676
6,Instagram,LONG,17,0.514
6,Instagram,LONG,18,0.692
6,Instagram,LONG,19,0.829
6,Instagram,LONG,20,0.416
6,Instagram,LONG,21,0.736
6,Instagram,LONG,22,0.575
6,Instagram,LONG,23,0.543
6,YouTube,SHORT,0,0.514
6,YouTube,SHORT,1,0.69
6,YouTube,SHORT,2,0.415
6,YouTube,SHORT,3,0.762
6,YouTube,SHORT,4,0.749
6,YouTube,SHORT,5,0.307
6,YouTube,SHORT,6,0.78
6,YouTube,SHORT,7,0.4
6,YouTube,SHORT,8,0.532
6,YouTube,SHORT,9,0.618
6,YouTube,SHORT,10,0.48
6,YouTube,SHORT,11,0.272
6,YouTube,SHORT,12,0.761
6,YouTube,SHORT,13,0.363
6,YouTube,SHORT,14,0.381
6,YouTube,SHORT,15,0.73
6,YouTube,SHORT,16,0.458
6,YouTube,SHORT,17,0.779
6,YouTube,SHORT,18,0.672
6,YouTube,SHORT,19,0.419
6,YouTube,SHORT,20,0.261
6,YouTube,SHORT,21,0.819
6,YouTube,SHORT,22,0.306
6,YouTube,SHORT,23,0.683
6,YouTube,LONG,0,0.803
6,YouTube,LONG,1,1.038
6,YouTube,LONG,2,0.979
6,YouTube,LONG,3,0.94
6,YouTube,LONG,4,0.804
6,YouTube,LONG,5,1.069
6,YouTube,LONG,6,0.456
6,YouTube,LONG,7,0.569
6,YouTube,LONG,8,0.98
6,YouTube,LONG,9,0.643
6,YouTube,LONG,10,0.884
6,YouTube,LONG,11,0.789
6,YouTube,LONG,12,0.84
6,YouTube,LONG,13,0.747
6,YouTube,LONG,14,1.028
6,YouTube,LONG,15,0.664
6,YouTube,LONG,16,0.99
6,YouTube,LONG,17,0.612
6,YouTube,LONG,18,0.595
6,YouTube,LONG,19,0.481
6,YouTube,LONG,20,0.544
6,YouTube,LONG,21,0.48
6,YouTube,LONG,22,0.844
6,YouTube,LONG,23,1.042
7,Instagram,SHORT,0,0.537
7,Instagram,SHORT,1,0.564
7,Instagram,SHORT,2,0.799
7,Instagram,SHORT,3,1.009
7,Instagram,SHORT,4,1.23
7,Instagram,SHORT,5,0.834
7,Instagram,SHORT,6,0.623
7,Instagram,SHORT,7,0.463
7,Instagram,SHORT,8,0.545
7,Instagram,SHORT,9,0.574
7,Instagram,SHORT,10,0.532
7,Instagram,SHORT,11,0.387
7,Instagram,SHORT,12,0.842
7,Instagram,SHORT,13,0.615
7,Instagram,SHORT,14,1.228
7,Instagram,SHORT,15,0.859
7,Instagram,SHORT,16,0.985
7,Instagram,SHORT,17,0.485
7,Instagram,SHORT,18,1.135
7,Instagram,SHORT,19,0.805
7,Instagram,SHORT,20,1.139
7,Instagram,SHORT,21,0.877
7,Instagram,SHORT,22,0.786
7,Instagram,SHORT,23,0.76
7,Instagram,LONG,0,0.365
7,Instagram,LONG,1,0.286
7,Instagram,LONG,2,0.815
7,Instagram,LONG,3,0.539
7,Instagram,LONG,4,0.744
7,Instagram,LONG,5,0.493
7,Instagram,LONG,6,0.299
7,Instagram,LONG,7,0.63
7,Instagram,LONG,8,0.287
7,Instagram,LONG,9,0.344
7,Instagram,LONG,10,0.59
7,Instagram,LONG,11,0.436
7,Instagram,LONG,12,0.846
7,Instagram,LONG,13,0.325
7,Instagram,LONG,14,0.71
7,Instagram,LONG,15,0.616
7,Instagram,LONG,16,0.725
7,Instagram,LONG,17,0.389
7,Instagram,LONG,18,0.566
7,Instagram,LONG,19,0.523
7,Instagram,LONG,20,0.518
7,Instagram,LONG,21,0.767
7,Instagram,LONG,22,0.844
7,Instagram,LONG,23,0.437
7,YouTube,SHORT,0,0.625
7,YouTube,SHORT,1,0.618
7,YouTube,SHORT,2,0.695
7,YouTube,SHORT,3,0.819
7,YouTube,SHORT,4,0.379
7,YouTube,SHORT,5,0.381
7,YouTube,SHORT,6,0.648
7,YouTube,SHORT,7,0.348
7,YouTube,SHORT,8,0.358
7,YouTube,SHORT,9,0.3
7,YouTube,SHORT,10,0.257
7,YouTube,SHORT,11,0.523
7,YouTube,SHORT,12,0.608
7,YouTube,SHORT,13,0.428
7,YouTube,SHORT,14,0.393
7,YouTube,SHORT,15,0.676
7,YouTube,SHORT,16,0.673
7,YouTube,SHORT,17,0.525
7,YouTube,SHORT,18,0.664
7,YouTube,SHORT,19,0.805
7,YouTube,SHORT,20,0.724
7,YouTube,SHORT,21,0.627
7,YouTube,SHORT,22,0.648
7,YouTube,SHORT,23,0.811
7,YouTube,LONG,0,0.747
7,YouTube,LONG,1,0.851
7,YouTube,LONG,2,0.942
7,YouTube,LONG,3,1.17
7,YouTube,LONG,4,1.098
7,YouTube,LONG,5,0.437
7,YouTube,LONG,6,0.52
7,YouTube,LONG,7,0.644
7,YouTube,LONG,8,1.03
7,YouTube,LONG,9,0.873
7,YouTube,LONG,10,0.628
7,YouTube,LONG,11,0.484
7,YouTube,LONG,12,0.978
7,YouTube,LONG,13,0.987
7,YouTube,LONG,14,1.2
7,YouTube,LONG,15,0.813
7,YouTube,LONG,16,0.807
7,YouTube,LONG,17,0.445
7,YouTube,LONG,18,0.41
7,YouTube,LONG,19,0.753
7,YouTube,LONG,20,0.657
7,YouTube,LONG,21,0.594
7,YouTube,LONG,22,0.455
7,YouTube,LONG,23,1.217
8,Instagram,SHORT,0,1.106
8,Instagram,SHORT,1,0.878
8,Instagram,SHORT,2,1.207
8,Instagram,SHORT,3,1.25
8,Instagram,SHORT,4,0.963
8,Instagram,SHORT,5,0.611
8,Instagram,SHORT,6,0.41
8,Instagram,SHORT,7,1.037
8,Instagram,SHORT,8,0.787
8,Instagram,SHORT,9,0.945
8,Instagram,SHORT,10,1.177
8,Instagram,SHORT,11,0.534
8,Instagram,SHORT,12,0.887
8,Instagram,SHORT,13,0.93
8,Instagram,SHORT,14,0.805
8,Instagram,SHORT,15,0.455
8,Instagram,SHORT,16,0.679
8,Instagram,SHORT,17,0.667
8,Instagram,SHORT,18,0.961
8,Instagram,SHORT,19,1.126
8,Instagram,SHORT,20,0.664
8,Instagram,SHORT,21,0.982
8,Instagram,SHORT,22,0.627
8,Instagram,SHORT,23,1.202
8,Instagram,LONG,0,0.739
8,Instagram,LONG,1,0.582
8,Instagram,LONG,2,0.526
8,Instagram,LONG,3,0.442
8,Instagram,LONG,4,0.447
8,Instagram,LONG,5,0.832
8,Instagram,LONG,6,0.495
8,Instagram,LONG,7,0.561
8,Instagram,LONG,8,0.843
8,Instagram,LONG,9,0.646
8,Instagram,LONG,10,0.578
8,Instagram,LONG,11,0.501
8,Instagram,LONG,12,0.367
8,Instagram,LONG,13,0.47
8,Instagram,LONG,14,0.705
8,Instagram,LONG,15,0.627
8,Instagram,LONG,16,0.707
8,Instagram,LONG,17,0.376
8,Instagram,LONG,18,0.582
8,Instagram,LONG,19,0.807
8,Instagram,LONG,20,0.516
8,Instagram,LONG,21,0.67
8,Instagram,LONG,22,0.327
8,Instagram,LONG,23,0.834
8,YouTube,SHORT,0,0.617
8,YouTube,SHORT,1,0.397
8,YouTube,SHORT,2,0.349
8,YouTube,SHORT,3,0.583
8,YouTube,SHORT,4,0.584
8,YouTube,SHORT,5,0.31
8,YouTube,SHORT,6,0.845
8,YouTube,SHORT,7,0.798
8,YouTube,SHORT,8,0.53
8,YouTube,SHORT,9,0.325
8,YouTube,SHORT,10,0.75
8,YouTube,SHORT,11,0.552
8,YouTube,SHORT,12,0.681
8,YouTube,SHORT,13,0.558
8,YouTube,SHORT,14,0.418
8,YouTube,SHORT,15,0.752
8,YouTube,SHORT,16,0.838
8,YouTube,SHORT,17,0.4
8,YouTube,SHORT,18,0.583
8,YouTube,SHORT,19,0.483
8,YouTube,SHORT,20,0.804
8,YouTube,SHORT,21,0.557
8,YouTube,SHORT,22,0.778
8,YouTube,SHORT,23,0.769
8,YouTube,LONG,0,0.617
8,YouTube,LONG,1,1.066
8,YouTube,LONG,2,0.738
8,YouTube,LONG,3,1.192
8,YouTube,LONG,4,0.819
8,YouTube,LONG,5,1.093
8,YouTube,LONG,6,0.622
8,YouTube,LONG,7,0.636
8,YouTube,LONG,8,0.889
8,YouTube,LONG,9,1.249
8,YouTube,LONG,10,0.803
8,YouTube,LONG,11,0.505
8,YouTube,LONG,12,0.846
8,YouTube,LONG,13,0.677
8,YouTube,LONG,14,0.858
8,YouTube,LONG,15,0.851
8,YouTube,LONG,16,0.773
8,YouTube,LONG,17,0.657
8,YouTube,LONG,18,0.54
8,YouTube,LONG,19,0.985
8,YouTube,LONG,20,0.875
8,YouTube,LONG,21,0.579
8,YouTube,LONG,22,1.054
8,YouTube,LONG,23,0.413
9,Instagram,SHORT,0,1.027
9,Instagram,SHORT,1,0.992
9,Instagram,SHORT,2,1.085
9,Instagram,SHORT,3,0.713
9,Instagram,SHORT,4,0.956
9,Instagram,SHORT,5,1.093
9,Instagram,SHORT,6,1.233
9,Instagram,SHORT,7,0.808
9,Instagram,SHORT,8,0.407
9,Instagram,SHORT,9,0.815
9,Instagram,SHORT,10,0.891
9,Instagram,SHORT,11,1.136
9,Instagram,SHORT,12,1.14
9,Instagram,SHORT,13,0.76
9,Instagram,SHORT,14,0.835
9,Instagram,SHORT,15,0.775
9,Instagram,SHORT,16,1.007
9,Instagram,SHORT,17,0.734
9,Instagram,SHORT,18,0.948
9,Instagram,SHORT,19,0.51
9,Instagram,SHORT,20,0.786
9,Instagram,SHORT,21,1.223
9,Instagram,SHORT,22,0.671
9,Instagram,SHORT,23,0.981
9,Instagram,LONG,0,0.642
9,Instagram,LONG,1,0.762
9,Instagram,LONG,2,0.762
9,Instagram,LONG,3,0.766
